id,code,name,department,category,description,target_levels,mapped_course_ids,mapped_course_names
1,FRAC-NAD-01,SNA 2008 & Macroeconomic Aggregates (GDP/GVA),National Accounts Division (NAD),Domain,"System of National Accounts (SNA 2008), Gross Value Added (GVA) estimation across economic sectors, constant vs current price deflators, and national income compilation.","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 5, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 3}","[1, 3, 13]",Data Analytics for Effective Governance; Telecom Analytics using Financial and Operational Data; Data Analysis and Decision Making - I (DADM-I)
2,FRAC-NAD-02,Supply-Use Tables (SUT) & Input-Output Matrices,National Accounts Division (NAD),Domain,"Compiling Supply and Use Tables (SUT), product balancing across 140+ commodities, domestic output matrices, and Input-Output coefficient estimation.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 2}","[1, 13, 14]",Data Analytics for Effective Governance; Data Analysis and Decision Making - I (DADM-I); Data Analytics and Visualizations for Government Officers
3,FRAC-NAD-03,"Capital Stock, Depreciation & Fixed Capital Formation",National Accounts Division (NAD),Domain,"Perpetual Inventory Method (PIM) for calculating Gross Fixed Capital Formation (GFCF), consumption of fixed capital (CFC), and national asset stock matrices.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[3, 13, 25]",Telecom Analytics using Financial and Operational Data; Data Analysis and Decision Making - I (DADM-I); Project Finance
4,FRAC-PSD-01,Consumer Price Index (CPI) Compilation & Price Monitoring,Price Statistics Division (PSD),Domain,"Compilation of CPI (Rural, Urban, Combined), price quotation scrutiny, handling off-season commodities, and sub-index Laspeyres weighting.","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 5, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 3, ""Research Officer"": 4, ""Joint Director (DES)"": 4, ""Other"": 3}","[10, 13, 14]",Overview of Basic Statistics; Data Analysis and Decision Making - I (DADM-I); Data Analytics and Visualizations for Government Officers
5,FRAC-PSD-02,Wholesale Price Index (WPI) & Commodity Basket Weighting,Price Statistics Division (PSD),Domain,"Computation of Wholesale Price Index (WPI), Producer Price Index (PPI) principles, factory gate price validation, and commodity basket weight revisions.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[3, 10, 13]",Telecom Analytics using Financial and Operational Data; Overview of Basic Statistics; Data Analysis and Decision Making - I (DADM-I)
6,FRAC-PSD-03,Inflation Forecasting & Geometric Index Methodologies,Price Statistics Division (PSD),Domain,"Headline vs core inflation modeling, geometric mean indexing, seasonal price index adjustment, and headline CPI release preparation.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[8, 10, 13]",Data Analysis using R; Overview of Basic Statistics; Data Analysis and Decision Making - I (DADM-I)
7,FRAC-FOD-01,NSSO Multi-Stage Stratified Sampling & Household Listing,Field Operations Division (FOD),Domain,"Executing First Stage Units (FSUs) selection, Urban Frame Survey (UFS) blocks demarcation, second-stage household stratification, and listing schedules.","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 4, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 3, ""Research Officer"": 4, ""Joint Director (DES)"": 4, ""Other"": 3}","[7, 8, 10]",Data Foundations for Governance; Data Analysis using R; Overview of Basic Statistics
8,FRAC-FOD-02,CAPI (Digital Tablet) Field Interviewing & GPS Tracking,Field Operations Division (FOD),Functional,"Conducting field interviews using Computer-Assisted Personal Interviewing (CAPI) tablets, spatial coordinate verification, and real-time field data upload.","{""JSO"": 3, ""SSO"": 4, ""AD"": 3, ""DD"": 3, ""JD"": 3, ""Director"": 3, ""Statistical Assistant"": 3, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 3}","[7, 10, 19]",Data Foundations for Governance; Overview of Basic Statistics; Data and Social Media Analytics for Governance
9,FRAC-FOD-03,"Field Scrutiny, Non-Response Treatment & Re-interview Audits",Field Operations Division (FOD),Domain,"Post-survey field scrutiny, identifying casualty households, applying substitute sampling protocols, and conducting independent re-interview audits.","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 4, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 3, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 3}","[7, 10, 12]",Data Foundations for Governance; Overview of Basic Statistics; Know Your Ministry-Ministry of Statistics and Programme Implementation
10,FRAC-FOD-04,Periodic Labour Force Survey (PLFS) & Household Consumption,Field Operations Division (FOD),Domain,"Canvassing PLFS rotational panel schedules, Usual Principal Status (UPS), Current Weekly Status (CWS), and Household Consumer Expenditure Survey (HCES).","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 4, ""JD"": 4, ""Director"": 4, ""Statistical Assistant"": 3, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 3}","[6, 7, 10]",Data Driven Decision Making; Data Foundations for Governance; Overview of Basic Statistics
11,FRAC-SDRD-01,Sampling Frame Design & Stratification Algorithms,Survey Design and Research Division (SDRD),Domain,"Designing multi-stage sampling designs, probability proportional to size (PPS) sampling, circular systematic sampling, and domain stratification optimization.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 5, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 2}","[8, 10, 13]",Data Analysis using R; Overview of Basic Statistics; Data Analysis and Decision Making - I (DADM-I)
12,FRAC-SDRD-02,Questionnaire Formulation & Cognitive Pre-Testing,Survey Design and Research Division (SDRD),Domain,"Developing standardized survey schedules, classification codes (NIC, NCO), cognitive pre-testing of questions, and pilot testing surveys.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 4, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[6, 7, 22]",Data Driven Decision Making; Data Foundations for Governance; Research Ethics
13,FRAC-SDRD-03,"Sampling Variance, Multiplier Estimation & Weight Calibration",Survey Design and Research Division (SDRD),Domain,"Calculating sampling multipliers, inverse probability weights, post-stratification calibration, and Jackknife/Bootstrap variance estimations.","{""JSO"": 2, ""SSO"": 3, ""AD"": 4, ""DD"": 5, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 3, ""Other"": 2}","[8, 10, 13]",Data Analysis using R; Overview of Basic Statistics; Data Analysis and Decision Making - I (DADM-I)
14,FRAC-DQAD-01,IMF Data Quality Assessment Framework (DQAF) Compliance,Data Quality Assurance Division (DQAD),Domain,"Applying IMF DQAF 5-dimension standards: integrity, methodological soundness, accuracy/reliability, serviceability, and accessibility of official statistics.","{""JSO"": 3, ""SSO"": 4, ""AD"": 4, ""DD"": 5, ""JD"": 5, ""Director"": 5, ""Statistical Assistant"": 2, ""Research Officer"": 3, ""Joint Director (DES)"": 4, ""Other"": 3}","[5, 7, 9]",Responsible Data Management; Data Foundations for Governance; Web Application Security for Enterprise Platforms
