id,image,name,by,duration,difficulty_level,tags,course_description,enrollees
1,https://portal.igotkarmayogi.gov.in/assets/public/content/do_11440866036885913611444/artifact/do_11440866036885913611444_1758869674149_saroj_bharadwaj1758869675651.jpg,Data Analytics for Effective Governance,National E-Governance Division (NEGD) MeitY Govt of India,0.7,Beginner,"Data Analytics, Data Visualization, Business Intelligence, Power BI, Tableau, QlikView, Data Driven Decision Making, KPIs, Dashboards, Governance, Data Analysis, Reporting, Organizational Efficiency","Introduces data visualization and Business Intelligence for governance, covering Power BI, Tableau, QlikView, KPIs, dashboards, and data-driven decision-making.",0
2,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1144454456248238081469/artifact/do_1144454456248238081469_1763360061799_data-analytics1763360061969.jpg,Data Analytics Essentials for the Defence Ecosystem,Defence Headquarters Training Institute (DHTI),1.12,Beginner,"Data Analytics, Visualisations, Data Led Decision Making, MS Excel, Tableau, Lookups, Pivot Tables, Data in Defence","Covers data collection, cleaning, transformation and interpretation, with practical Excel features such as lookups, conditional formatting and PivotTables, plus an introduction to Tableau.",0
3,https://portal.igotkarmayogi.gov.in/assets/public/content/do_11463156447418777611176/artifact/do_11463156447418777611176_1786079648688_screenshot-2026-08-07-1035321786079648999.png,Telecom Analytics using Financial and Operational Data,Department of Telecommunications,0.8,Beginner,"Financial Statement Analysis, Telecommunications, Fundamental Analysis, Financial Performance, Accounting Ratios, Financial Planning, CAPEX, OPEX, KPIs, Financial Analytics, Evidence-Based Decision Making","Develops analytical skills using telecom operational and financial data, including market analysis, financial performance, CAPEX/OPEX, KPIs and evidence-based decision-making.",0
4,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1141410985970892801392/artifact/do_1141410985970892801392_1726208324948_671726208325280.jpg,Data Storytelling,Fractal,2.82,Beginner,"Data Storytelling, Data Visualization, Narrative, Data Analysis, Communication, Insights, Decision Making, Data Cleaning, Gestalt Principles, Cognitive Load, Interactive Visualization, Business Intelligence, Presentation Skills","Teaches learners to transform data into persuasive narratives through data selection, cleaning, visualization, design principles and effective storytelling.",0
5,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1140510254912143361395/artifact/do_1140510254912143361395_1715213073623_overlayfinancewomanthinkingwithlaptopnightideasplanningbusinesstradingstrategydigitalemployeeworkingovertimefinancialanalysisdeadlinecomputer1715213073629.jpg,Responsible Data Management,DataDotOrg,1.97,Intermediate,"Data Management, Data Governance, Data Privacy, Data Protection, GDPR, DPDP Act 2023, Personal Data, Data Ethics, Data Lifecycle, Data Security, Cybersecurity, Data Anonymization, Data Classification","Covers responsible data handling across the data lifecycle, including privacy, security, data governance, GDPR, India's DPDP Act, anonymization and data classification.",0
6,https://portal.igotkarmayogi.gov.in/assets/public/content/do_114430581306875904137/artifact/do_114430581306875904137_1761545569895_upsc-logo1761545569335.jpg,Data Driven Decision Making,Union Public Service Commission (UPSC),1.5,"Beginner","Government Program Formulation, Scheme/Program Design","A comprehensive assessment designed to evaluate competency attainment, knowledge, application and behavioural competencies related to data-driven decision-making and public service delivery.",0
7,https://portal.igotkarmayogi.gov.in/assets/public/content/do_11453749816166809611/artifact/do_11453749816166809611_1774596943835_131774596944923.png,Data Foundations for Governance,Wadhwani Foundation,1.5,Beginner,"Data, Data Literacy, Data Structuring, Data Validation, Data Cleaning, Data Deduplication, Data Quality Management, Data Governance, Data Privacy & Ethics, Data Preparation for Analytics, Dashboard & Reporting, Predictive Governance, Evidence-Based Decision Making","Builds foundational skills in collecting, structuring, validating and preparing data for analytics, with applications in government decision-making, service delivery and policy planning.",0
8,https://portal.igotkarmayogi.gov.in/assets/public/content/do_1138906683242168321123/artifact/do_1138906683242168321123_1695638224147_upgradlogo1695638222315.png,Data Analysis using R,UpGrad,3.23,Intermediate,"R Programming, Data Analysis, Inferential Statistics, Hypothesis Testing, T-test, Z-test, Statistical Analysis, Data Visualization, Confidence Intervals, Sampling Techniques, Binomial Distribution, Data Science, Quantitative Analysis","Practical introduction to data analysis using R, covering data cleaning, visualization, descriptive statistics, probability, sampling, confidence intervals and hypothesis testing.",0
9,https://portal.igotkarmayogi.gov.in/assets/public/content/do_114541114228457472167/artifact/do_114541114228457472167_1775038358181_m2-thumbnail1775038352850.jpg,Web Application Security for Enterprise Platforms,National E-Governance Division (NEGD) MeitY Govt of India,0.94,Beginner,"Web Application Security, Security, Application Testing, Secure Coding, OWASP Top 10, SQL Injection, XSS, CSRF, Session Hijacking, Authentication, Secure SDLC, Vulnerability Assessment","Introduces enterprise web application security, covering secure coding, authentication, authorization, OWASP Top 10, common vulnerabilities, vulnerability assessment and threat mitigation.",0
10,https://portal.igotkarmayogi.gov.in/assets/public/content/do_114398831117721600164/artifact/do_114398831117721600164_1757669814518_statistics1757669813092.png,Overview of Basic Statistics,"Capacity Development Division, MoSPI",2.08,Beginner,"Basic Statistics, Statistics, Data, Data Analysis, Interpretation, Regression, Correlation, Central Tendency, Hypothesis Testing, Patterns and Trends, Statistical Thinking, Evidence-Based Decisions","Provides a foundation in statistics, including data collection, descriptive statistics, visualization, probability, correlation, regression and basic hypothesis testing.",0
